"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",16,110,9873,0.14545,0.98137,-0.0094,0.98137
"endpoint2",4218,1230,4426,3.42927,1.86785,0.30261,1.86785
"endpoint3",2120,1041,1265,2.0365,1.64476,0.24379,1.64476
"overall",6354,2380,1265,2.66975,2.31917,0.39744,2.31917
