"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",1709,1715,6576,0.9965,0.9988,-6e-04,0.9988
"endpoint2",1645,1643,3288,1.00122,1.00061,3e-04,1.00061
"endpoint3",1648,1640,1,1.00488,1.00488,0.00243,1.00488
"overall",5001,4998,1,1.0006,1.0006,3e-04,1.0006
