"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",0,0,9999,NA,1,0,1
"endpoint2",0,0,9999,NA,1,0,1
"endpoint3",6283,3715,0,1.69125,1.69125,0.25685,1.69125
"overall",6284,3716,0,1.69107,1.69107,0.2568,1.69107
