"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",41,232,9727,0.17672,0.96252,-0.0191,0.96252
"endpoint2",2426,2438,4863,0.99508,0.99754,-0.00123,0.99754
"endpoint3",1074,1079,2710,0.99537,0.99795,-0.00103,0.99795
"overall",3540,3750,2710,0.944,0.95886,-0.021,0.95886
