"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",673,1042,8285,0.64587,0.92883,-0.0369,0.92883
"endpoint2",2072,2070,4143,1.00097,1.00048,0.00024,1.00048
"endpoint3",1759,1748,635,1.00629,1.00533,0.00266,1.00533
"overall",4505,4860,635,0.92695,0.93143,-0.0355,0.93143
