"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",265,633,9101,0.41864,0.92901,-0.0368,0.92901
"endpoint2",2276,2274,4551,1.00088,1.00044,0.00022,1.00044
"endpoint3",1601,1589,1362,1.00755,1.00529,0.00264,1.00529
"overall",4142,4496,1362,0.92126,0.93162,-0.0354,0.93162
