"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",41,232,9726,0.17672,0.96251,-0.0191,0.96251
"endpoint2",2433,2430,4864,1.00123,1.00062,0.00031,1.00062
"endpoint3",1083,1073,2708,1.00932,1.00412,0.00206,1.00412
"overall",3557,3735,2708,0.95234,0.96502,-0.0178,0.96502
