"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",267,631,9102,0.42314,0.92976,-0.0364,0.92976
"endpoint2",2270,2281,4550,0.99518,0.99759,-0.00121,0.99759
"endpoint3",1592,1596,1363,0.99749,0.99824,-0.00088,0.99824
"overall",4129,4509,1363,0.91572,0.92679,-0.038,0.92679
