"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",116,792,9092,0.14646,0.87336,-0.0676,0.87336
"endpoint2",3834,1118,4139,3.42934,1.85208,0.29876,1.85208
"endpoint3",1929,945,1265,2.04127,1.62377,0.23774,1.62377
"overall",5879,2856,1265,2.05847,1.86656,0.3023,1.86656
