"","Win","Loose","Tie","WR","WO","GPC","GPC_trans"
"endpoint1",36,243,9722,0.14815,0.95944,-0.0207,0.95944
"endpoint2",1170,342,8209,3.42105,1.18621,0.08518,1.18621
"endpoint3",4657,2287,1265,2.03629,1.81178,0.28871,1.81178
"overall",5863,2871,1265,2.04215,1.854,0.29923,1.854
